Latitud,Longitud,ALA,Fuente,TipoEstacion,NombreEstacion,Variable,Fecha,Hora,Valor,UnidadMedida
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,01/10/1968,00:00,2.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,02/10/1968,00:00,2.4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,03/10/1968,00:00,2.2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,04/10/1968,00:00,2.3,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,05/10/1968,00:00,2.4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,06/10/1968,00:00,2.2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,07/10/1968,00:00,2.83,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,08/10/1968,00:00,3.61,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,09/10/1968,00:00,4.38,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,10/10/1968,00:00,4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,11/10/1968,00:00,4.38,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,12/10/1968,00:00,3.74,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,13/10/1968,00:00,3.61,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,14/10/1968,00:00,3.74,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,15/10/1968,00:00,5.14,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,16/10/1968,00:00,5.9,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,17/10/1968,00:00,5.9,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,18/10/1968,00:00,4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,19/10/1968,00:00,3.48,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,20/10/1968,00:00,3.61,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,21/10/1968,00:00,3.87,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,22/10/1968,00:00,2.6,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,23/10/1968,00:00,3.48,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,24/10/1968,00:00,4.57,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,25/10/1968,00:00,5.71,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,26/10/1968,00:00,7.98,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,27/10/1968,00:00,11.1,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,28/10/1968,00:00,7.98,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,29/10/1968,00:00,5.52,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,30/10/1968,00:00,4.76,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,31/10/1968,00:00,6.68,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,01/11/1968,00:00,7.46,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,02/11/1968,00:00,6.16,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,03/11/1968,00:00,5.52,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,04/11/1968,00:00,4.95,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,05/11/1968,00:00,9.61,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,06/11/1968,00:00,11.5,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,07/11/1968,00:00,6.68,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,08/11/1968,00:00,7.2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,09/11/1968,00:00,6.68,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,10/11/1968,00:00,7.72,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,11/11/1968,00:00,20,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,12/11/1968,00:00,16.9,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,13/11/1968,00:00,10.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,14/11/1968,00:00,8.24,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,15/11/1968,00:00,6.16,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,16/11/1968,00:00,3.87,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,17/11/1968,00:00,3.48,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,18/11/1968,00:00,3.35,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,19/11/1968,00:00,3.87,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,20/11/1968,00:00,3.74,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,21/11/1968,00:00,2.83,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,22/11/1968,00:00,2.4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,23/11/1968,00:00,2.2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,24/11/1968,00:00,1.9,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,25/11/1968,00:00,2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,26/11/1968,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,27/11/1968,00:00,2.83,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,28/11/1968,00:00,3.09,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,29/11/1968,00:00,2.1,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,30/11/1968,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,01/12/1968,00:00,1.56,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,02/12/1968,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,03/12/1968,00:00,2.4,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,04/12/1968,00:00,2.6,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,05/12/1968,00:00,3.35,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,06/12/1968,00:00,4.95,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,07/12/1968,00:00,6.68,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,08/12/1968,00:00,4.57,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,09/12/1968,00:00,4.38,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,10/12/1968,00:00,4.95,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,11/12/1968,00:00,3.48,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,12/12/1968,00:00,3.09,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,13/12/1968,00:00,2.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,14/12/1968,00:00,2.6,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,15/12/1968,00:00,4.38,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,16/12/1968,00:00,5.14,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,17/12/1968,00:00,5.33,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,18/12/1968,00:00,3.74,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,19/12/1968,00:00,4.19,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,20/12/1968,00:00,3.61,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,21/12/1968,00:00,2.7,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,22/12/1968,00:00,2.3,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,23/12/1968,00:00,1.9,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,24/12/1968,00:00,1.63,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,25/12/1968,00:00,1.56,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,26/12/1968,00:00,1.42,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,27/12/1968,00:00,1.35,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,28/12/1968,00:00,1.42,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,29/12/1968,00:00,1.49,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,30/12/1968,00:00,1.63,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,31/12/1968,00:00,1.8,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,01/01/1969,00:00,2,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,02/01/1969,00:00,2.1,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,03/01/1969,00:00,1.56,m³/s
-11.2,-76.3,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,CARHUACAYAN M-3,Caudal PRO 1DIA,04/01/1969,00:00,1.42,m³/s
