Latitud,Longitud,ALA,Fuente,TipoEstacion,NombreEstacion,Variable,Fecha,Hora,Valor,UnidadMedida,dia,Mes,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,1/10/1968,0:00,675,m³/s,1,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,2/10/1968,0:00,0.48,m³/s,2,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,3/10/1968,0:00,0.44,m³/s,3,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,4/10/1968,0:00,0.4,m³/s,4,10,,,,,,,,,,,Seco,Promedio,,,Vacíos
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,5/10/1968,0:00,0.44,m³/s,5,10,,,,,,,,,,,31-may,0.575125,,,31/5/1975
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,6/10/1968,0:00,0.44,m³/s,6,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,7/10/1968,0:00,805,m³/s,7,10,,,,,,,,,,,,,,,3/12/1977
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,8/10/1968,0:00,1,m³/s,8,10,,,,,,,,,,,,,,,4/12/1977
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,9/10/1968,0:00,1.43,m³/s,9,10,,,,,,,,,,,,,,,23/12/1977
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,10/10/1968,0:00,805,m³/s,10,10,,,,,,,,,,,,,,,13/2/1978
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,11/10/1968,0:00,935,m³/s,11,10,,,,,,,,,,,,,,,19/2/1978
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,12/10/1968,0:00,0.74,m³/s,12,10,,,,,,,,,,,,,,,25/2/1978
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,13/10/1968,0:00,675,m³/s,13,10,,,,,,,,,,,,,,,19/3/1978
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,14/10/1968,0:00,805,m³/s,14,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,15/10/1968,0:00,935,m³/s,15,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,16/10/1968,0:00,1.13,m³/s,16,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,17/10/1968,0:00,1.23,m³/s,17,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,18/10/1968,0:00,935,m³/s,18,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,19/10/1968,0:00,1,m³/s,19,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,20/10/1968,0:00,1.23,m³/s,20,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,21/10/1968,0:00,1,m³/s,21,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,22/10/1968,0:00,0.87,m³/s,22,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,23/10/1968,0:00,0.87,m³/s,23,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,24/10/1968,0:00,0.87,m³/s,24,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,25/10/1968,0:00,1.13,m³/s,25,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,26/10/1968,0:00,4.54,m³/s,26,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,27/10/1968,0:00,6.22,m³/s,27,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,28/10/1968,0:00,2.39,m³/s,28,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,29/10/1968,0:00,1.73,m³/s,29,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,30/10/1968,0:00,1.43,m³/s,30,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,31/10/1968,0:00,2.92,m³/s,31,10,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,1/11/1968,0:00,3.32,m³/s,1,11,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,2/11/1968,0:00,2.66,m³/s,2,11,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,3/11/1968,0:00,1.73,m³/s,3,11,,,,,,,,,,,,,,,
